ID,y
a28601,-9.146575149747784
a28602,3.6562912470602686
a28603,-9.735645285370703
a28604,-0.9065413088309998
a28605,-14.338910070497262
a28606,-1.175330701038351
a28607,1.3796659208391773
a28608,0.5357879664563943
a28609,2.736308109647987
a28610,-3.233391254001864
a28611,-4.0090449125399825
a28612,5.062618870952029
a28613,1.6552064215263167
a28614,-2.865724043590027
a28615,1.3322785114704956
a28616,-2.8506050668259277
a28617,-8.394845835577621
a28618,-1.7173679587492718
a28619,-2.610484088583794
a28620,-2.0050107501864103
a28621,-5.004802555342808
a28622,-1.1173523470466988
a28623,-1.5089224589802221
a28624,-3.87946442120632
a28625,-10.287261729870112
a28626,-7.288929215551074
a28627,-2.650673758580949
a28628,-2.734692867095582
a28629,4.254456077037379
a28630,-2.566924468214774
a28631,-4.243131690746371
a28632,-12.103779567429468
a28633,-7.523565743931043
a28634,-3.179622412009287
a28635,-7.349820872221202
a28636,-2.2577710210125073
a28637,-9.012306145304178
a28638,-4.061142371002289
a28639,-0.51423411236837
a28640,-10.468336134440362
a28641,-3.6830170215733293
a28642,-0.9829513985964926
a28643,-3.9514377747197167
a28644,-2.6297269029870334
a28645,3.5625219069242258
a28646,-1.3170384750901012
a28647,-5.2324591374009835
a28648,-9.337201678673898
a28649,1.6589846906449464
a28650,-11.165763663663162
a28651,-5.757266623209277
a28652,-4.628042991751252
a28653,5.487638640022417
a28654,1.6991580183630202
a28655,-2.74603469864746
a28656,-6.839317598472941
a28657,-4.59398553938399
a28658,-4.618832280449195
a28659,-3.721435925335717
a28660,-7.314328757893338
a28661,-2.3653472769066726
a28662,-2.025218886763426
a28663,2.515102681216529
a28664,-0.02933818886689038
a28665,-10.995809560740536
a28666,-1.2087199720672357
a28667,-3.3092795548721377
a28668,-6.193137707629452
a28669,3.4959820150916814
a28670,0.6022658196428956
a28671,-3.0717038444828155
a28672,-7.043748947181992
a28673,-11.206781221448404
a28674,2.2028623836515866
a28675,-1.9787784551779954
a28676,-7.530751520465434
a28677,0.5408416564074334
a28678,0.8029327366793354
a28679,-6.225233796205595
a28680,2.982345353531575
a28681,-3.305737158443577
a28682,-5.663431491553741
a28683,-7.1415361438779845
a28684,-1.8778122250678317
a28685,0.28532777306619583
a28686,-2.8184306133670907
a28687,-6.884289388077951
a28688,-0.45772914721830604
a28689,1.8129712027195837
a28690,-1.6738084769585142
a28691,-12.083241825108363
a28692,-6.4682157175592625
a28693,-3.500562996701711
a28694,1.3574207977460948
a28695,-5.749355499067615
