ID,sire,dam
a28866,a28472,a28553
a28867,a28417,a28525
a28868,a28405,a28596
a28869,a28407,a28538
a28870,a28439,a28521
a28871,a28415,a28538
a28872,a28493,a28552
a28873,a28448,a28591
a28874,a28450,a28520
a28875,a28490,a28569
a28876,a28424,a28542
a28877,a28467,a28585
a28878,a28418,a28530
a28879,a28424,a28541
a28880,a28487,a28518
a28881,a28404,a28599
a28882,a28437,a28564
a28883,a28435,a28536
a28884,a28428,a28570
a28885,a28455,a28544
a28886,a28438,a28501
a28887,a28427,a28501
a28888,a28493,a28591
a28889,a28469,a28583
a28890,a28411,a28507
a28891,a28429,a28541
a28892,a28460,a28541
a28893,a28434,a28533
a28894,a28471,a28589
a28895,a28463,a28600
a28896,a28444,a28595
a28897,a28463,a28502
a28898,a28468,a28553
a28899,a28448,a28600
a28900,a28462,a28532
a28901,a28455,a28535
a28902,a28429,a28573
a28903,a28490,a28597
a28904,a28484,a28572
a28905,a28499,a28559
a28906,a28499,a28550
a28907,a28450,a28550
a28908,a28492,a28556
a28909,a28407,a28541
a28910,a28434,a28597
a28911,a28498,a28504
a28912,a28494,a28563
a28913,a28483,a28513
a28914,a28442,a28579
a28915,a28435,a28525
a28916,a28500,a28555
a28917,a28455,a28552
a28918,a28414,a28576
a28919,a28476,a28588
a28920,a28425,a28593
a28921,a28438,a28530
a28922,a28454,a28543
a28923,a28495,a28551
a28924,a28500,a28527
a28925,a28455,a28525
a28926,a28405,a28591
a28927,a28446,a28529
a28928,a28440,a28512
a28929,a28415,a28587
a28930,a28429,a28554
a28931,a28414,a28515
a28932,a28427,a28510
a28933,a28450,a28528
a28934,a28404,a28526
a28935,a28441,a28568
a28936,a28493,a28509
a28937,a28441,a28517
a28938,a28491,a28540
a28939,a28497,a28573
a28940,a28412,a28519
a28941,a28464,a28591
a28942,a28420,a28542
a28943,a28437,a28543
a28944,a28487,a28533
a28945,a28412,a28590
a28946,a28496,a28568
a28947,a28500,a28596
a28948,a28416,a28545
a28949,a28416,a28586
a28950,a28465,a28552
a28951,a28452,a28563
a28952,a28419,a28596
a28953,a28440,a28550
a28954,a28417,a28520
a28955,a28416,a28537
a28956,a28452,a28527
a28957,a28418,a28530
a28958,a28451,a28590
a28959,a28457,a28502
a28960,a28427,a28584
a28961,a28455,a28513
a28962,a28406,a28510
a28963,a28470,a28506
a28964,a28404,a28554
a28965,a28471,a28550
a28966,a28455,a28540
a28967,a28495,a28513
a28968,a28453,a28503
a28969,a28403,a28566
a28970,a28439,a28501
a28971,a28430,a28511
a28972,a28482,a28569
a28973,a28495,a28551
a28974,a28467,a28504
a28975,a28493,a28507
a28976,a28432,a28579
a28977,a28437,a28526
a28978,a28468,a28521
a28979,a28403,a28524
a28980,a28474,a28524
a28981,a28447,a28570
a28982,a28465,a28587
a28983,a28472,a28581
a28984,a28434,a28594
a28985,a28425,a28546
a28986,a28449,a28585
a28987,a28413,a28591
a28988,a28499,a28520
a28989,a28463,a28571
a28990,a28487,a28533
a28991,a28476,a28507
a28992,a28488,a28509
a28993,a28481,a28534
a28994,a28406,a28531
a28995,a28491,a28533
a28996,a28491,a28559
a28997,a28495,a28594
a28998,a28451,a28540
a28999,a28475,a28560
a29000,a28473,a28518
a29001,a28493,a28551
a29002,a28408,a28562
a29003,a28477,a28519
a29004,a28494,a28518
a29005,a28443,a28537
a29006,a28402,a28523
a29007,a28415,a28588
a29008,a28429,a28548
a29009,a28465,a28573
a29010,a28499,a28549
a29011,a28419,a28598
a29012,a28427,a28520
a29013,a28499,a28565
a29014,a28483,a28562
a29015,a28477,a28535
a29016,a28435,a28535
a29017,a28451,a28599
a29018,a28401,a28530
a29019,a28453,a28556
a29020,a28482,a28572
a29021,a28445,a28574
a29022,a28441,a28582
a29023,a28422,a28552
a29024,a28408,a28513
a29025,a28477,a28533
a29026,a28446,a28581
a29027,a28495,a28570
a29028,a28471,a28576
a29029,a28409,a28563
a29030,a28423,a28568
a29031,a28500,a28600
a29032,a28482,a28566
a29033,a28425,a28531
a29034,a28451,a28575
a29035,a28462,a28524
a29036,a28401,a28578
a29037,a28488,a28552
a29038,a28454,a28578
a29039,a28456,a28522
a29040,a28420,a28569
a29041,a28422,a28576
a29042,a28454,a28527
a29043,a28419,a28549
a29044,a28479,a28539
a29045,a28467,a28593
a29046,a28480,a28561
a29047,a28466,a28566
a29048,a28483,a28529
a29049,a28469,a28583
a29050,a28429,a28552
a29051,a28474,a28592
a29052,a28471,a28528
a29053,a28464,a28524
a29054,a28492,a28538
a29055,a28423,a28541
a29056,a28437,a28531
a29057,a28429,a28560
a29058,a28426,a28597
a29059,a28467,a28507
a29060,a28494,a28585
a29061,a28440,a28587
a29062,a28458,a28581
a29063,a28444,a28580
a29064,a28461,a28547
a29065,a28408,a28586
a29066,a28498,a28523
a29067,a28483,a28596
a29068,a28419,a28532
a29069,a28487,a28528
a29070,a28432,a28578
a29071,a28485,a28549
a29072,a28413,a28589
a29073,a28478,a28532
a29074,a28479,a28545
a29075,a28474,a28584
a29076,a28458,a28505
a29077,a28470,a28503
a29078,a28458,a28505
a29079,a28458,a28557
a29080,a28471,a28561
a29081,a28497,a28534
a29082,a28466,a28578
a29083,a28471,a28529
a29084,a28433,a28532
a29085,a28415,a28572
a29086,a28472,a28589
a29087,a28435,a28552
a29088,a28459,a28548
a29089,a28486,a28528
a29090,a28441,a28537
a29091,a28437,a28511
a29092,a28431,a28549
a29093,a28483,a28546
a29094,a28472,a28591
a29095,a28413,a28506
a29096,a28413,a28520
a29097,a28443,a28545
a29098,a28495,a28580
a29099,a28440,a28562
a29100,a28470,a28518
a29101,a28401,a28542
a29102,a28440,a28537
a29103,a28475,a28562
a29104,a28403,a28548
a29105,a28491,a28506
a29106,a28449,a28549
a29107,a28465,a28584
a29108,a28413,a28542
a29109,a28425,a28578
a29110,a28463,a28527
a29111,a28494,a28541
a29112,a28412,a28526
a29113,a28404,a28565
a29114,a28423,a28531
a29115,a28449,a28539
a29116,a28472,a28520
a29117,a28449,a28555
a29118,a28498,a28600
a29119,a28431,a28501
a29120,a28410,a28582
a29121,a28488,a28555
a29122,a28454,a28523
a29123,a28426,a28579
a29124,a28493,a28512
a29125,a28445,a28554
a29126,a28406,a28586
a29127,a28401,a28589
a29128,a28435,a28577
a29129,a28444,a28516
a29130,a28442,a28540
