201	52	196
202	52	189
203	50	157
204	28	103
205	54	162
206	86	120
207	19	125
208	70	120
209	55	144
210	68	167
211	74	155
212	56	143
213	1	151
214	9	194
215	5	125
216	75	163
217	10	198
218	90	156
219	70	188
220	57	153
221	88	188
222	8	174
223	49	114
224	79	111
225	66	125
226	38	170
227	30	120
228	71	130
229	75	158
230	55	154
231	24	175
232	5	148
233	87	150
234	85	198
235	73	122
236	54	108
237	87	160
238	83	140
239	39	185
240	56	151
241	4	163
242	59	121
243	100	166
244	65	180
245	31	116
246	68	124
247	33	171
248	27	138
249	43	156
250	8	139
251	70	124
252	53	184
253	20	159
254	88	179
255	76	121
256	42	162
257	65	150
258	90	175
259	6	172
260	20	177
261	29	160
262	41	134
263	87	148
264	96	199
265	3	125
266	71	116
267	4	177
268	26	136
269	58	151
270	71	155
271	43	183
272	67	110
273	36	122
274	11	154
275	46	175
276	25	126
277	56	131
278	64	167
279	11	162
280	79	105
281	67	145
282	32	147
283	72	141
284	58	160
285	9	168
286	68	101
287	85	131
288	8	110
289	69	170
290	65	149
291	5	159
292	12	142
293	20	123
294	100	169
295	44	198
296	12	186
297	75	138
298	10	160
299	86	183
300	65	115
301	4	115
302	35	196
303	100	184
304	58	102
305	24	193
306	93	117
307	84	184
308	36	137
309	95	151
310	37	109
311	81	133
312	30	178
313	91	139
314	21	129
315	5	177
316	12	172
317	55	141
318	100	116
319	44	153
320	16	130
321	27	145
322	55	113
323	15	146
324	44	174
325	67	107
326	82	188
327	33	113
328	76	102
329	54	153
330	18	140
331	22	162
332	14	162
333	38	111
334	86	120
335	73	198
336	69	149
337	80	173
338	54	163
339	82	158
340	2	158
341	67	132
342	48	149
343	32	176
344	36	113
345	57	156
346	59	169
347	97	134
348	17	119
349	76	119
350	3	200
351	3	130
352	23	146
353	89	122
354	48	117
355	37	135
356	12	199
357	49	121
358	14	107
359	9	108
360	73	190
361	20	139
362	7	191
363	5	178
364	75	118
365	52	129
366	89	197
367	47	148
368	95	107
369	15	194
370	27	197
371	30	139
372	57	155
373	90	148
374	76	194
375	91	148
376	98	157
377	53	176
378	43	170
379	24	173
380	18	149
381	86	112
382	91	161
383	76	128
384	66	171
385	3	179
386	41	155
387	39	169
388	96	174
389	49	139
390	71	164
391	84	172
392	46	163
393	88	161
394	92	118
395	62	148
396	71	151
397	22	126
398	5	156
399	31	119
400	65	130
401	85	200
402	2	152
403	52	113
404	13	121
405	66	130
406	45	139
407	35	192
408	84	148
409	91	109
410	7	101
411	9	146
412	76	145
413	43	102
414	1	181
415	76	143
416	30	179
417	9	116
418	35	179
419	39	193
420	91	181
421	59	188
422	12	192
423	43	156
424	26	161
425	97	163
426	71	177
427	75	179
428	12	145
429	59	106
430	17	137
431	57	114
432	62	171
433	15	125
434	71	133
435	6	171
436	44	143
437	95	176
438	89	164
439	4	109
440	47	191
441	52	148
442	94	148
443	8	173
444	57	102
445	3	126
446	52	167
447	41	108
448	51	164
449	56	133
450	16	187
451	63	112
452	41	151
453	11	183
454	49	132
455	33	200
456	86	119
457	82	108
458	33	105
459	80	192
460	50	132
461	18	190
462	88	197
463	32	107
464	62	162
465	62	150
466	33	180
467	88	182
468	88	161
469	85	171
470	12	156
471	90	154
472	77	176
473	46	192
474	90	189
475	75	143
476	45	166
477	36	106
478	62	130
479	21	103
480	7	200
481	4	144
482	83	110
483	29	109
484	45	148
485	49	114
486	87	132
487	30	127
488	48	167
489	97	104
490	85	198
491	87	190
492	27	172
493	52	127
494	97	127
495	70	163
496	73	155
497	62	137
498	92	151
499	28	162
500	67	138
501	20	199
502	32	195
503	96	155
504	55	161
505	88	120
506	24	127
507	46	166
508	71	115
509	48	165
510	82	152
511	73	162
512	58	144
513	6	178
514	80	186
515	23	127
516	85	186
517	52	121
518	90	150
519	32	118
520	64	170
521	13	171
522	8	169
523	86	172
524	78	158
525	45	103
526	60	103
527	77	171
528	80	165
529	18	146
530	51	112
531	10	120
532	6	173
533	8	141
534	21	126
535	13	135
536	76	117
537	84	148
538	36	154
539	55	181
540	43	161
541	39	180
542	14	139
543	100	115
544	19	124
545	46	158
546	65	141
547	49	167
548	21	140
549	23	147
550	75	108
551	67	181
552	43	190
553	58	117
554	10	192
555	86	176
556	22	172
557	22	172
558	60	157
559	34	126
560	82	136
561	16	178
562	94	146
563	14	196
564	4	146
565	51	140
566	24	164
567	95	184
568	67	146
569	79	133
570	27	184
571	21	134
572	35	199
573	2	138
574	51	132
575	82	113
576	5	165
577	67	112
578	91	191
579	63	189
580	26	128
581	93	154
582	57	152
583	36	188
584	94	169
585	68	124
586	37	196
587	98	165
588	62	109
589	70	176
590	17	163
591	28	181
592	1	199
593	44	118
594	10	140
595	32	188
596	80	134
597	35	178
598	96	161
599	77	151
600	64	171
601	68	124
602	22	185
603	27	124
604	6	158
605	5	158
606	27	131
607	79	114
608	85	121
609	59	110
610	18	198
611	73	132
